anomaly_ratio_bin,algorithm,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec,n,feature,length_bin,mean_anomaly_duration_bin,seasonality_proxy_bin,noise_proxy_bin
,matrix_profile,0.5659501979619153,0.1527792785598749,0.5891269177618852,0.20145096408675994,0.575841802914576,0.2515195092821961,0.5867093396140263,20,noise_proxy,,,,low
,rolling_zscore,0.4920099013944045,0.13954678348860222,0.5600709742815472,0.17031808025135767,0.4785468260969859,0.1682554570845434,0.4172490874072537,20,noise_proxy,,,,low
,ik_density,0.6546586039405935,0.24927063077669204,0.7401899522498836,0.46922268981816745,0.6765584041532776,0.4908230636227513,9.204358866787516,20,noise_proxy,,,,medium
,isolation_forest,0.6811569118241584,0.2810503818308729,0.7453535303577767,0.47422238473735645,0.6970695514709737,0.4958682053976681,0.7391205791849643,20,noise_proxy,,,,medium
,knn,0.7668504787526254,0.3467239643401717,0.8275840039767541,0.5792288615255551,0.7895349583458506,0.6373775869357443,1.442907524923794,20,noise_proxy,,,,medium
,lof,0.7286694510899838,0.2871641752475905,0.8323691295039104,0.5467288755684849,0.7571497363559528,0.5733965431866807,1.4447017626371235,20,noise_proxy,,,,medium
,matrix_profile,0.7174464862270111,0.26838646432118585,0.8022989323409531,0.5201796995193704,0.7456422408547947,0.5732495927223099,0.9811155166942627,20,noise_proxy,,,,medium
,rolling_zscore,0.5864999034758578,0.25856256528815064,0.6853663433438283,0.3094832337987755,0.5311891147066865,0.30279054305103387,0.5018993644742296,20,noise_proxy,,,,medium
,ik_density,0.6772740815758979,0.16330831047750127,0.7226074954040623,0.34859192111501847,0.6681112095770263,0.4023993143828647,9.158969320892357,20,noise_proxy,,,,high
,isolation_forest,0.7140351168450823,0.2139301785516114,0.7593155872813022,0.38131098087407267,0.7147237852131965,0.4301550897444611,0.8064707563491538,20,noise_proxy,,,,high
,knn,0.6758730623830586,0.15112231640577767,0.7273921329797222,0.35200461907598224,0.6894803164116123,0.40991919633881285,1.3910363854141905,20,noise_proxy,,,,high
,lof,0.7075900902588124,0.19003989079101866,0.7564587791239049,0.36153823878216,0.7238895653602404,0.4096479035906401,1.4789289810927584,20,noise_proxy,,,,high
,matrix_profile,0.49066652250971743,0.13958440321756976,0.6115256433843281,0.29633849470343154,0.5413646477759735,0.31175299254612243,2.246246081334539,20,noise_proxy,,,,high
,rolling_zscore,0.6404016588325006,0.24027097607359482,0.6983458791025525,0.207205467520357,0.459343320904563,0.18072455637539325,0.4946496354881674,20,noise_proxy,,,,high
